Camera,Chamber_Column,Plate_position,Plate,WellID,StrainID,Status,NitrogenHistory,SalineHistory,ContSaline,Rep,area,greenness,Date,Hour,Date.merge,PlatexWell,StartingSize
B,3,plate1,5,b06,St63,Evolved,High,High,Low,2,10434,0.384339966,1,20,1.833333333,5 b06,10.434
B,3,plate1,5,c01,St3,Evolved,Low,Low,Low,2,6402,0.377242816,1,20,1.833333333,5 c01,6.402
B,3,plate1,5,c02,St23,Evolved,Low,High,Low,2,10561,0.39229816,1,20,1.833333333,5 c02,10.561
B,3,plate1,5,c03,St43,Evolved,High,Low,Low,2,5136,0.383148965,1,20,1.833333333,5 c03,5.136
B,3,plate1,5,c04,St64,Evolved,High,High,Low,2,11010,0.382218254,1,20,1.833333333,5 c04,11.01
B,3,plate1,5,c06,St24,Evolved,Low,High,Low,2,9733,0.377293088,1,20,1.833333333,5 c06,9.733
B,3,plate1,5,d01,St44,Evolved,High,Low,Low,2,3954,0.367505979,1,20,1.833333333,5 d01,3.954
B,3,plate1,5,d02,St65,Evolved,High,High,Low,2,14924,0.387518877,1,20,1.833333333,5 d02,14.924
B,3,plate1,5,d04,St25,Evolved,Low,High,Low,2,5499,0.375371953,1,20,1.833333333,5 d04,5.499
B,3,plate1,5,d05,St45,Evolved,High,Low,Low,2,9615,0.356194032,1,20,1.833333333,5 d05,9.615
B,3,plate1,5,d06,St67,Evolved,High,High,Low,2,6721,0.377366387,1,20,1.833333333,5 d06,6.721
D,3,plate1,6,a01,Ancestor,Ancestor,NA,NA,Low,2,12046,0.409759983,1,20,1.833333333,6 a01,12.046
D,3,plate1,6,a03,Sterile,Sterile,NA,NA,Low,2,6885,0.399891521,1,20,1.833333333,6 a03,6.885
D,3,plate1,6,a04,Sterile,Sterile,NA,NA,Low,2,5070,0.384573381,1,20,1.833333333,6 a04,5.07
D,3,plate1,6,b01,St46,Evolved,High,Low,Low,2,8539,0.399313362,1,20,1.833333333,6 b01,8.539
D,3,plate1,6,b02,St69,Evolved,High,High,Low,2,3511,0.378975568,1,20,1.833333333,6 b02,3.511
D,3,plate1,6,b03,St7,Evolved,Low,Low,Low,2,11703,0.407382957,1,20,1.833333333,6 b03,11.703
D,3,plate1,6,b05,St47,Evolved,High,Low,Low,2,7750,0.384164863,1,20,1.833333333,6 b05,7.75
D,3,plate1,6,b06,St70,Evolved,High,High,Low,2,16342,0.395282885,1,20,1.833333333,6 b06,16.342
D,3,plate1,6,c01,St8,Evolved,Low,Low,Low,2,12318,0.405426489,1,20,1.833333333,6 c01,12.318
D,3,plate1,6,c03,St48,Evolved,High,Low,Low,2,11828,0.404385373,1,20,1.833333333,6 c03,11.828
D,3,plate1,6,c05,St9,Evolved,Low,Low,Low,2,3680,0.386680267,1,20,1.833333333,6 c05,3.68
D,3,plate1,6,d01,St49,Evolved,High,Low,Low,2,9395,0.396392076,1,20,1.833333333,6 d01,9.395
D,3,plate1,6,d05,St50,Evolved,High,Low,Low,2,7947,0.399840807,1,20,1.833333333,6 d05,7.947
B,4,plate2,7,b04,St32,Evolved,Low,High,Low,2,10105,0.376384398,1,20,1.833333333,7 b04,10.105
B,4,plate2,7,c01,St13,Evolved,Low,Low,Low,2,16224,0.370662515,1,20,1.833333333,7 c01,16.224
B,4,plate2,7,c02,St33,Evolved,Low,High,Low,2,9435,0.367836627,1,20,1.833333333,7 c02,9.435
B,4,plate2,7,c05,St14,Evolved,Low,Low,Low,2,11454,0.380260108,1,20,1.833333333,7 c05,11.454
B,4,plate2,7,d03,St15,Evolved,Low,Low,Low,2,11373,0.378433066,1,20,1.833333333,7 d03,11.373
D,4,plate2,8,b04,St37,Evolved,Low,High,Low,2,8990,0.386504819,1,20,1.833333333,8 b04,8.99
D,4,plate2,8,c04,St19,Evolved,Low,Low,Low,2,11322,0.397627279,1,20,1.833333333,8 c04,11.322
D,4,plate2,8,c05,St39,Evolved,Low,High,Low,2,10917,0.402227473,1,20,1.833333333,8 c05,10.917
D,4,plate2,8,d04,Ancestor,Ancestor,NA,NA,Low,2,6832,0.380598523,1,20,1.833333333,8 d04,6.832
D,4,plate2,8,d06,Sterile,Sterile,NA,NA,Low,2,13518,0.400369528,1,20,1.833333333,8 d06,13.518
C,5,plate1,9,a01,Ancestor,Ancestor,NA,NA,Low,3,18929,0.405717825,1,20,1.833333333,9 a01,18.929
C,5,plate1,9,a03,Sterile,Sterile,NA,NA,Low,3,10467,0.395627599,1,20,1.833333333,9 a03,10.467
C,5,plate1,9,a04,Sterile,Sterile,NA,NA,Low,3,6115,0.359627108,1,20,1.833333333,9 a04,6.115
C,5,plate1,9,a05,St1,Evolved,Low,Low,Low,3,13061,0.386654115,1,20,1.833333333,9 a05,13.061
C,5,plate1,9,a06,St21,Evolved,Low,High,Low,3,11805,0.383222689,1,20,1.833333333,9 a06,11.805
C,5,plate1,9,b01,St41,Evolved,High,Low,Low,3,5056,0.387266638,1,20,1.833333333,9 b01,5.056
C,5,plate1,9,b02,St62,Evolved,High,High,Low,3,7746,0.401780181,1,20,1.833333333,9 b02,7.746
C,5,plate1,9,b03,St2,Evolved,Low,Low,Low,3,3867,0.386529873,1,20,1.833333333,9 b03,3.867
C,5,plate1,9,b04,St22,Evolved,Low,High,Low,3,5636,0.385095976,1,20,1.833333333,9 b04,5.636
C,5,plate1,9,b05,St42,Evolved,High,Low,Low,3,11681,0.396579789,1,20,1.833333333,9 b05,11.681
C,5,plate1,9,b06,St63,Evolved,High,High,Low,3,11915,0.381535689,1,20,1.833333333,9 b06,11.915
