PlateNumber,Position,PlatePosition,Well,Nitrogen,Strain,Treatment_rep,area,greenness,Date,Hour,Date.merge,PlatexWell,StartingSize
18,1_2,plate2,b02,Low,Inoculated,Rep8,3964.5,0.337056311,1,13,1.541666667,18 b02,3.9645
18,1_2,plate2,c05,High,Sterile,Rep8,5097.5,0.336192383,1,13,1.541666667,18 c05,5.2575
18,1_2,plate2,d02,High,Inoculated,Rep8,3174,0.326542343,1,13,1.541666667,18 d02,3.174
19,1_3,plate1,b01,Low,Inoculated,Rep9,4294,0.330762614,1,13,1.541666667,19 b01,4.302
19,1_3,plate1,c04,High,Sterile,Rep9,3684.5,0.327756737,1,13,1.541666667,19 c04,3.82
19,1_3,plate1,d01,High,Inoculated,Rep9,3200,0.331048194,1,13,1.541666667,19 d01,3.178
20,1_4,plate2,a03,Low,Sterile,Rep10,1976.5,0.327692113,1,13,1.541666667,20 a03,1.998
20,1_4,plate2,a06,Low,Inoculated,Rep10,2757.5,0.332685589,1,13,1.541666667,20 a06,2.8025
20,1_4,plate2,c06,High,Inoculated,Rep10,2820,0.329722311,1,13,1.541666667,20 c06,2.855
11,0_0,plate1,a03,Low,Inoculated,Rep1,11182.5,0.349313611,1,20,1.833333333,11 a03,10.951
11,0_0,plate1,c03,High,Inoculated,Rep1,11616.5,0.336363054,1,20,1.833333333,11 c03,11.1525
11,0_0,plate1,d06,High,Sterile,Rep1,8703,0.336536696,1,20,1.833333333,11 d06,8.689
12,0_1,plate2,a02,Low,Inoculated,Rep2,4908,0.332385012,1,20,1.833333333,12 a02,4.5135
12,0_1,plate2,b05,Low,Sterile,Rep2,4925,0.337291403,1,20,1.833333333,12 b05,4.6965
12,0_1,plate2,c02,High,Inoculated,Rep2,7931,0.331217052,1,20,1.833333333,12 c02,7.288
12,0_1,plate2,d05,High,Sterile,Rep2,3345.5,0.321376731,1,20,1.833333333,12 d05,3.33
13,0_2,plate1,a01,Low,Inoculated,Rep3,1183,0.315290957,1,20,1.833333333,13 a01,1.1995
13,0_2,plate1,b04,Low,Sterile,Rep3,3664.5,0.332413254,1,20,1.833333333,13 b04,3.659
13,0_2,plate1,c01,High,Inoculated,Rep3,2222.5,0.328143827,1,20,1.833333333,13 c01,2.129
14,0_3,plate2,b03,Low,Sterile,Rep4,4690,0.341438434,1,20,1.833333333,14 b03,4.4945
14,0_3,plate2,b06,Low,Inoculated,Rep4,8031.5,0.346356398,1,20,1.833333333,14 b06,7.924
14,0_3,plate2,d03,High,Sterile,Rep4,2053,0.323830361,1,20,1.833333333,14 d03,6.0155
14,0_3,plate2,d06,High,Inoculated,Rep4,2475.5,0.317990386,1,20,1.833333333,14 d06,2.286
15,0_4,plate1,b05,Low,Inoculated,Rep5,4263.5,0.328370794,1,20,1.833333333,15 b05,4.2635
15,0_4,plate1,d02,High,Sterile,Rep5,6565.5,0.332948804,1,20,1.833333333,15 d02,6.5655
16,1_0,plate2,b04,Low,Inoculated,Rep6,3408,0.333548139,1,20,1.833333333,16 b04,3.408
16,1_0,plate2,d01,High,Sterile,Rep6,2758,0.324437692,1,20,1.833333333,16 d01,2.8885
16,1_0,plate2,d04,High,Inoculated,Rep6,5773.5,0.335731241,1,20,1.833333333,16 d04,5.4685
17,1_1,plate1,a06,Low,Sterile,Rep7,6957,0.341641971,1,20,1.833333333,17 a06,6.957
17,1_1,plate1,b03,Low,Inoculated,Rep7,7310.5,0.337059979,1,20,1.833333333,17 b03,7.257
